"";"mrmrRanking";"rfRanking";"daRanking"
"1";"ANGPTL6";"ANGPTL6";"WWTR1"
"2";"FTLP3";"GABRD";"BIRC3"
"3";"PLXDC1";"CDH13";"CDH1"
"4";"RAB25";"STAB2";"ROS1"
"5";"WDR66";"BMPER";"POLQ"
"6";"AP2B1";"ECM1";"FGFR2"
"7";"CDH13";"ADAMTS13";"KLF6"
"8";"PTPN13";"GDF2";"CBFB"
"9";"SLC31A1";"CLEC4G";"FGFR3"
"10";"ADAMTS13";"SPDL1";"CLTCL1"
