Loc;Hombres;Mujeres
Pulmón;1184947;576060
Colon-recto;484224;396568
Estómago;513555;269130
Hígado;548375;233256
Mama;0;626679
Esófago;357190;151395
Páncreas;226910;205332
Próstata;358989;0
TotalEPNM;5347295;4142577
