id	filename	md5	size	state
008f1fdc-a5e4-4094-a987-bccc44d5a7c7	7cccb817-cdff-45c0-a4cd-9de57d7d8c48.htseq.counts.gz	04a1b01b38f97d15c8ef873809837b71	252570	validated
02425961-7ed2-40c0-9b61-4d63b3a61f94	c71dcbec-be8f-4246-b009-25294c19ed66.htseq.counts.gz	d86bbcb13a4471e89aca089012d37483	249716	validated
07119960-1ac2-48b2-993c-616b0f15eab0	cde0617f-fcd6-4c58-b3cf-dcfabc6fcda7.htseq.counts.gz	35f385ebff0639de275474e710fc3bae	254752	validated
071439e7-4436-4d19-b54b-9d897e7d802c	67fd4b38-5a38-487d-a235-064580064739.htseq.counts.gz	a208525a7d5f970670a121d6f64e06df	254131	validated
09bd94d6-a115-4c5e-a9ce-db6277c386e1	4b377b21-fed6-4684-bd4c-93850e8b5b8a.htseq.counts.gz	921a2f1eb8381266d09e28dfa56bf1ef	248787	validated
0ada222c-bd8b-40cf-9ba8-7ed485982705	0e556719-18fe-49e4-9c2e-454bb11c7e03.htseq.counts.gz	6fad8504e7cdf6f476aefc3d790f4863	251019	validated
0c931ae0-0169-4084-be7f-e50a330baa99	b78b6f49-3cb2-452a-a41c-6dfa90e631db.htseq.counts.gz	c10791f045d9d3e02747a12c1716baae	253906	validated
0d81578d-13b1-4e8f-b621-ae4b4954f8d4	b9038119-a0a9-4987-b9e3-02ea055a644a.htseq.counts.gz	b66e10a75517eb23e054b44cf026c710	251279	validated
0dd3806f-4fea-414a-9328-a52403345852	03761959-a620-440f-bbaa-33bd75afae1c.htseq.counts.gz	c31741a5a9e5f2472c582abfbf8fe0a4	249568	validated
0f7d7d42-0879-4f5b-93a3-ea0b388ca3ae	c19f102d-47a0-48c6-9443-63730d9ea6d1.htseq.counts.gz	3148d89c99b87fdc4c047623640ce1b4	244739	validated
0fed1108-f65c-45e0-9695-66fb085119c7	057aa9ac-f22c-4c11-a44d-ad52ae59b4cf.htseq.counts.gz	0eddec535afdee7aca9cacdcfbb52c95	255085	validated
12d19433-bce8-4339-abfe-911c52c84876	b244f324-fd8a-4d4b-b8f5-bad973c649d5.htseq.counts.gz	2f8a4c92226c7514cefab9bf02a9f7ac	255640	validated
13dfd8da-5d36-48fa-a82c-77b5c5e77e7b	232f085b-6201-4e4d-8473-e592b8d8e16d.htseq.counts.gz	fb22772a5d5948778ea2f77cdecb3050	252815	validated
143e70c9-6a0e-4da6-b7d9-2fd6df637199	08562fbc-4f41-408b-8bd1-0c656071d69f.htseq.counts.gz	8d2a83090b805ef237e97b747d743596	251901	validated
14b9f815-4748-4779-a8d2-2992c7d160d5	c642e018-f0cb-4be8-9b19-c944f1daf9cf.htseq.counts.gz	a167e11c764183104c35ef373896bb5f	247831	validated
16110cd5-b475-4101-8b78-d5c4550e8b77	b14ad58e-4740-4c4f-83ff-7535efe6a055.htseq.counts.gz	7649d0bc56432f13d89830042cfd12b8	249117	validated
167aef29-9e90-4bd1-ab3c-49bdb9866939	8a799dfa-c1b5-4b13-9c91-6cbfe2abbc9f.htseq.counts.gz	fd8ed974721299c7fce17d0722d6e8e2	260246	validated
18a28d47-34d3-44f6-b634-f7785133011f	f8551a29-d4bd-4954-bf9c-8e10265063de.htseq.counts.gz	4aae8da37de214a1a7779b4f32d7d805	250532	validated
1fe6aae5-23ae-4c8f-b12e-773086973975	e228d8be-74db-4b34-90d6-5d757f15310b.htseq.counts.gz	05f64b40c9c3ab2c43637c35dca4c17c	253882	validated
214db7c7-ce13-4ef3-88ea-8e125ce7eae8	e5214aa1-432a-4a47-886c-3ded1616255b.htseq.counts.gz	9f4fcaa5e8a924e9553bdbc9d2a2e0e6	254501	validated
22541a34-1fcb-44fb-9d95-bff4645da6ef	4764acbb-d535-4ec1-8aa4-df1512a754c2.htseq.counts.gz	f4a532e0213127a0e7a79e225d7e80f8	254878	validated
234ed7b6-ff8a-4163-b173-3d858b1480aa	7b11a93d-fde2-4779-b4ab-502480a4c6ed.htseq.counts.gz	935a9be05f444846dddaed28a3095bd3	251983	validated
26cebf47-5d30-46f0-b54d-1e950a7915a0	a9fbe593-42f7-4597-a61c-240408bbe203.htseq.counts.gz	3503cea44f5e109ac8c1c4e89f21c233	244352	validated
2a20147d-ce91-4e63-af56-91cc83338ac6	32662b7d-7abd-4ec4-b802-869292832cfc.htseq.counts.gz	cbae3585f9d5c18683158b264184df8f	252734	validated
2c7cb8b2-4c26-4f91-8bff-48369144d8f7	25c55776-4df2-44c2-bbd3-fadec618115c.htseq.counts.gz	3982bdf7fd0d4bde6b973035a004bbe1	255009	validated
2ddb8bbf-a7a8-493f-a4db-fbc1ff9f5c5c	3d771128-9e90-49c2-8ee5-23d994ee6398.htseq.counts.gz	2370752dcf029669a8582e6e3d32958e	256303	validated
2ef4ced3-2a04-4434-b5ab-4c8a5edfff30	0c3dee5c-b102-4cc2-85d5-4c0e8f860c86.htseq.counts.gz	52ed6891579cc070824bdd52ee96a3aa	253743	validated
2f78facc-02b6-4eb8-841e-ad76ccaa7d2e	b4ce6dd3-35a8-4261-b4d2-a2ab39957593.htseq.counts.gz	aaba7118b155a44672247168fb327a07	256023	validated
30a0d8dd-ba66-41d0-9a32-24de4e1a28c7	cdaedb53-612c-4e7a-8ffe-348944b94e0c.htseq.counts.gz	a3883220b60211562f5009f84da8f5d8	256782	validated
30cb578d-4f0f-4386-91db-40714f72da59	6de948fd-f834-408f-8018-ce38970c1e77.htseq.counts.gz	58119b9b605b8fb57fa5816ac5be0241	262802	validated
34263800-f9d8-4fb1-b48f-5832ee32f060	09a677f2-d81d-4c3f-adf9-f8594e064e44.htseq.counts.gz	f367a9d3e6ceb4aaf96758e10047a310	242901	validated
352239e3-9451-44c9-b20a-658c55fc6d68	6423474d-60d7-4401-8e5b-46a3fbde5299.htseq.counts.gz	d31e3cafa9b85114a89f5df3e15e79ca	240259	validated
37004c79-6c54-4c48-b6f2-4272152ce96e	87c17703-72c7-4207-8935-3391f207f4a6.htseq.counts.gz	9c5503831e04a2ea3d7483e488b9beef	251607	validated
38bbf913-9b62-41af-9e5a-d24fe1138d4b	d7d3fe8e-3885-44e8-934c-50f2a3bbfb2f.htseq.counts.gz	13488ab5da641e8d01317cea66ff2c2a	251229	validated
38d708e8-f932-47f4-b9b6-454ed6a2f594	2553d284-ed47-49cb-afd6-13c0ed5bc9cb.htseq.counts.gz	be3a8d53fa529629c14cadffbb6fd60b	253961	validated
38e0e170-4a51-4a93-971a-ccdeede430c4	8103517e-1192-4e6a-87c2-eb02010fa417.htseq.counts.gz	b73897081f540bd3300c4725329bda36	253527	validated
3abf09bd-4cce-4a8c-91e7-8dc2cbc120b4	b0159d01-f1eb-490d-875b-cfdabed6f529.htseq.counts.gz	b138f653f21efbf4712114f8c76eda3d	252708	validated
3bcc4113-6623-41f5-b99b-85c277eaf77b	c98f395b-003f-41b1-abff-38b6b227d64c.htseq.counts.gz	05987c480d31bd7abc4843b5d5ec630f	253489	validated
3e31d297-9be9-48c2-97e4-ec2a47fc3081	cd1bba0f-b2e8-45e3-9b37-dcec5472cb7b.htseq.counts.gz	49f0854bf4608a5a184075020f2f235c	254299	validated
40ab23a5-ee9e-4ef1-b0e4-3f1beab872dd	feb22766-4282-47c8-bfe2-7d020b4a15d4.htseq.counts.gz	f2c3fbc10688b2a3be1f67f99423de9e	254356	validated
4225b007-4956-4f28-b45e-ad3cf58caa0d	4a12d4ee-acf4-4422-abb5-54bb966e3b07.htseq.counts.gz	7b5f2cc31ba948254181f9c1ac2c6328	255310	validated
4381eb58-5827-4773-8765-da4479b781d8	9f124994-5787-488d-b679-a33419ab63e5.htseq.counts.gz	401a5def9e6c75d90d6e7487189e26f7	252586	validated
443731d7-51e0-471f-a5d2-1ee8aa502b37	eb3894d4-fcae-43ef-ad68-b756c6aa56ea.htseq.counts.gz	25c2b582ff2956a5cdfb91df1be9013d	252596	validated
4465e657-f37b-4d0c-86ec-2f12b09d2a6f	e38e0ced-093c-44e9-9f3b-7cdd0e6b912e.htseq.counts.gz	2f727fbca0839e517ecdf1d0217081ff	259527	validated
461b085e-8ab6-4fd0-844e-95fb48c56c2c	12088339-1c7d-45ce-94b5-109555472ac2.htseq.counts.gz	ded5aabcd4cac8341ecd9c69d7b9c3c7	250833	validated
463a7063-1bb8-4777-b563-da0ea7bca924	2132e4b3-f882-4d05-9cb6-be9a24c510c0.htseq.counts.gz	4cf3555267736e03f3802dbdc296abe8	247603	validated
4724b2df-1373-4780-a64b-188e75d688f5	1548c36f-d41c-4ebe-a86c-66cbc65af67b.htseq.counts.gz	7d2ad28ce5421a075eed8921d3074a9c	256549	validated
493b827d-2e23-4111-8e02-61ddc217d6f3	7d0fbed4-b5e1-4633-ac04-e0ee614b90ee.htseq.counts.gz	38ac98547a5ef7e03a734187ce792335	247699	validated
496308b4-a886-4bc4-8c85-23c483d98aa5	388fca1d-5282-41cc-b638-dfdf54249dbd.htseq.counts.gz	131561d45a710818e8aaffc280413cb9	255704	validated
4ab05cf6-ad72-4b27-b9df-5322de131866	55461fda-c46a-42a8-acf1-7d39149b799e.htseq.counts.gz	b23808bd9370cdaa0db157019cfb0423	251809	validated
4b1b3103-7692-4f73-b375-21b0124961f5	855d4a17-5c83-429d-919b-8c2a8e9bab0b.htseq.counts.gz	e5bc46c56001951ce9f8e065dc0069a9	248189	validated
4b9ab2e0-c986-49af-acf4-22ee883df77e	dd2f0366-10f3-40e4-90d5-c5c2c7a65289.htseq.counts.gz	035d4a50127621765499c9cc402775e0	252877	validated
4ccf0719-c6e5-4b77-8efd-c77a41fef92a	45b76b49-54f5-41ed-8e48-a16b04ed6dd0.htseq.counts.gz	dff35ff348945ec4da3c4268ed333f4e	244441	validated
4cf1f369-bcf0-4a39-9aac-b419226e5978	4a39bda3-2a3f-4253-bea1-607260375f07.htseq.counts.gz	98dd1456e0d493c11a0197725db8a647	249940	validated
4d4602d2-35bf-492b-8c6a-b3b840ca2270	a2a33be8-232b-44bf-a003-349017a5bc5a.htseq.counts.gz	e0eadbb6b316fa622d29020f39b590a7	252641	validated
4d98a852-c30a-437b-a214-ee81015d674b	25b906db-fd54-4b85-b67e-e421826bd794.htseq.counts.gz	38acc858f2e4390e10c82b9423ca4f3c	250164	validated
50e27193-14a5-4f21-977e-a694a69bfe70	0349f526-7816-4a7d-9967-1f75dd9ff00a.htseq.counts.gz	648d690914acc20adb9415d3f9967846	251166	validated
519a3312-38bf-455c-af8b-d7bbc957a787	03630a0c-aa97-4e28-bac9-0206fff669cd.htseq.counts.gz	279b4713d52c1a22d68d7220602b1904	250521	validated
5231ee98-c4e5-4818-b5e9-c6cb13292504	83f33647-1b5f-4017-bb52-02cfb2478641.htseq.counts.gz	80a8e44324249b6c40865de9027dd083	256802	validated
52baf0b4-81b7-49b9-9c95-76059fda76ec	42bec5f7-7623-42e6-bbdf-514fe3805940.htseq.counts.gz	99619c469ba2a3de4c7b297ac90fc8e1	260621	validated
