"";"mrmrRanking";"rfRanking";"daRanking"
"1";"BEST4";"VSTM2A";"ETV4"
"2";"MET";"CA7";"SCN7A"
"3";"EPOP";"COL11A1";"RSPO2"
"4";"RXRG";"GLP2R";"PHOX2B"
"5";"C5orf34";"SLC39A10";"SALL4"
"6";"DHRS7C";"ENC1";"POU5F1B"
"7";"NKX2-3";"ESM1";"TNFRSF17"
"8";"ESM1";"CEMIP";"SCN9A"
"9";"SGCG";"CA2";"TLX1"
"10";"MDFI";"KRT80";"WT1"
